Timestamp,Actual Position,Target Position,IMU Data
1732127855.5058396,"[-1443, -1443]",[],0
1732127856.02848,"[-1443, -1443]",[],0
1732127856.0363452,"[-1443, -1443]",[9000],0
1732127856.0363452,"[-1443, -1443]",[9000],0
1732127856.0451918,"[-1443, -1443]",[9000],0
1732127856.0451918,"[-1443, -1443]",[9000],0
1732127856.054175,"[-1443, -1443]",[9000],0
1732127856.0629818,"[-1443, -1443]",[9000],0
1732127856.0629818,"[-1443, -1442]",[9000],0
1732127856.0705483,"[-1443, -1443]",[9000],0
1732127856.077558,"[-1443, -1443]",[9000],0
1732127856.077558,"[-1443, -1443]",[9000],0
1732127856.1250844,"[-1443, -1443]",[9000],0
1732127856.1250844,"[-1443, -1442]",[9000],0
1732127856.1339684,"[-1443, -1443]",[9000],0
1732127856.1391106,"[-1443, -1443]",[9000],0
1732127856.1416783,"[-1443, -1443]",[9000],0
1732127856.1496603,"[-1443, -1442]",[9000],0
1732127856.1496603,"[-1443, -1443]",[9000],0
1732127856.1578524,"[-1443, -1443]",[9000],0
1732127856.1610649,"[-1443, -1443]",[9000],0
1732127856.1660507,"[-1443, -1443]",[9000],0
1732127856.167751,"[-1443, -1443]",[9000],0
1732127856.173986,"[-1443, -1442]",[9000],0
1732127856.1761813,"[-1443, -1443]",[9000],0
1732127856.1761813,"[-1443, -1443]",[9000],0
1732127856.1831887,"[-1443, -1443]",[9000],0
1732127856.1903927,"[-1443, -1442]",[9000],0
1732127856.1903927,"[-1443, -1443]",[9000],0
1732127856.1983926,"[-1443, -1443]",[9000],0
1732127856.1983926,"[-1443, -1442]",[9000],0
1732127856.2069843,"[-1443, -1443]",[9000],0
1732127856.2071958,"[-1443, -1443]",[9000],0
1732127856.215679,"[-1443, -1443]",[9000],0
1732127856.215679,"[-1443, -1442]",[9000],0
1732127856.2238114,"[-1443, -1443]",[9000],0
1732127856.2238114,"[-1443, -1442]",[9000],0
1732127856.2319818,"[-1443, -1443]",[9000],0
1732127856.2321467,"[-1443, -1443]",[9000],0
1732127856.2321467,"[-1443, -1443]",[9000],0
1732127856.2403052,"[-1443, -1443]",[9000],0
1732127856.2403052,"[-1443, -1443]",[9000],0
1732127856.2484028,"[-1443, -1443]",[9000],0
1732127856.2566297,"[-1443, -1443]",[9000],0
1732127856.2566297,"[-1443, -1443]",[9000],0
1732127856.2646656,"[-1443, -1443]",[9000],0
1732127856.2646656,"[-1443, -1443]",[9000],0
1732127856.272727,"[-1443, -1443]",[9000],0
1732127856.272727,"[-1443, -1443]",[9000],0
1732127856.2810094,"[-1443, -1443]",[9000],0
1732127856.2810094,"[-1443, -1443]",[9000],0
1732127856.289345,"[-1443, -1443]",[9000],0
1732127856.289345,"[-1443, -1443]",[9000],0
1732127856.2974238,"[-1443, -1443]",[9000],0
1732127856.2974238,"[-1443, -1443]",[9000],0
1732127856.3054774,"[-1443, -1443]",[9000],0
1732127856.306992,"[-1443, -1442]",[9000],0
1732127856.3135989,"[-1443, -1443]",[9000],0
1732127856.3217106,"[-1443, -1443]",[9000],0
1732127856.330022,"[-1443, -1443]",[9000],0
1732127856.330022,"[-1443, -1443]",[9000],0
1732127856.3384645,"[-1443, -1443]",[9000],0
1732127856.3464952,"[-1443, -1443]",[9000],0
1732127856.3464952,"[-1443, -1443]",[9000],0
1732127856.3555777,"[-1443, -1443]",[9000],0
1732127856.3630633,"[-1443, -1443]",[9000],0
1732127856.3715274,"[-1443, -1443]",[9000],0
1732127856.3715274,"[-1443, -1442]",[9000],0
1732127856.3828094,"[-1443, -1443]",[9000],0
